lengths,returns
67,-114.63809624504256
105,-186.34232043855764
68,-143.49981513666714
101,-84.97315354226497
91,-94.20944904000645
65,-20.958133041815277
65,-128.8173206824247
98,-86.71305356712159
102,-50.69395430319366
71,-51.96761508791954
107,-60.573322860681536
122,-61.28864997848048
75,-86.59633712268354
66,-50.66970400434349
79,-0.9963660690802754
59,-91.32051248711194
72,-101.59004811844288
54,-64.61362455257371
96,-210.33356137679934
52,-136.340050054239
78,-21.3869120405174
92,-232.14870116890748
83,-47.88527719228552
100,-116.39595858021625
105,-122.41120310418802
101,-10.249136981082739
88,4.3648801110295254
77,-183.96979457136067
56,-77.26275771184882
74,-59.03799823315545
66,-35.971831914028435
83,-144.11894237290872
70,-147.34934485764742
97,-105.64250602518302
97,-130.51530748185908
117,-54.493724279481924
96,-178.21038409719915
105,-30.025502305067782
140,-10.405757427970556
115,-89.11468887262984
88,-86.70071153607779
63,-63.02770283133637
114,-171.21726030935665
83,-79.8056023753774
114,-102.10705513567444
90,-60.927849016095344
119,-33.231131953937584
78,-101.07270828167118
71,-48.382441531588945
56,-81.07052341150863
75,-43.53214094761205
66,-47.77509058052247
79,-165.15292229996868
90,-37.56838582015337
68,-118.6593569425189
123,0.2647916858739008
57,-99.76991729942112
86,-56.53149911168854
123,-72.35493403260703
122,-26.422597168113793
64,-86.5590665339762
95,-119.68149366546258
109,-48.93511106273729
98,-149.83632664917351
109,-40.2815326874191
65,-51.540033430218195
55,-119.96952017224066
130,-117.82848132973236
96,-154.78538390587255
112,-136.38344802538717
101,-82.32119752646067
96,-158.53642619744954
119,-38.57054222139938
69,-56.69279491781628
67,-81.47808113832662
66,-24.115688960587406
97,-91.28288502428525
91,-139.26437716234338
143,-105.80694465664317
76,-89.3039268332499
116,-10.619487986629386
80,-53.475957069785835
100,-155.4481122238809
94,-236.65717706073715
113,-81.25130061563651
99,-190.59493672590304
81,-64.96218959665688
73,-126.53340389530234
113,-69.01102377483777
87,-217.44483282044092
72,-56.996250589307564
115,-52.45764261343447
84,-231.30398420330403
148,-72.2347426275785
78,-50.253046226869564
110,-119.06108279888227
116,-150.69576100168374
94,-19.900050115565435
65,-38.67957142840659
62,-45.61504344531766
91,-170.5834707097656
100,-44.17909300265155
118,-39.41901965149028
78,-182.8056375581375
56,-79.54101520932355
103,-121.1918455751445
73,-50.751757370403176
105,-105.65369354047002
85,-261.2162173944304
120,-139.0898528595022
100,-74.47657224393663
99,-60.43572325966486
90,-192.48673245873525
131,-111.59095745673321
94,-73.63518738036971
90,-152.31180015839124
98,-48.668126792429504
61,-41.60859513216256
100,-104.98295493954134
101,-123.33268163707294
112,-113.33228686399353
90,-44.19430189560498
93,-119.16583359716184
75,-61.392913577176834
99,-56.1992808066436
66,-46.39165231388229
58,-105.93961126175232
72,-49.414100048042066
92,-43.264944401594214
114,-55.02063632949987
61,-63.093082225698026
63,-92.10341474769193
63,-68.11181379992328
133,-59.72593839599892
95,-50.257821336165065
72,-55.20834188932239
71,-80.36035115390396
136,-113.6806965077621
71,-58.34563756241853
91,-116.8477889245438
93,-117.91545144526444
84,-34.94160788692534
59,-61.5472331041962
112,-46.97251416731822
116,-117.0807568192787
118,-152.09664206076945
71,10.140896314370085
66,-120.56076845281585
98,-97.8795189757896
81,-71.8781657079447
130,-35.31770687117047
105,-105.79228100326954
84,-50.65895622488331
69,-33.66332244759949
67,-60.26576480441652
88,-85.39928502406087
115,-129.6061752108178
78,-161.10096387359587
103,-96.54485044414308
77,-40.55830713268529
