lengths,returns
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
395,-98.11243521665307
499,-99.34295169575849
434,-98.72451764390928
290,-94.57741418959363
324,-96.14696415225477
418,-98.50200162663312
458,-98.99788139383423
363,-97.39639175060792
499,-99.34295169575849
454,-98.95677413217054
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
417,-98.48687032993244
499,-99.34295169575849
499,-99.34295169575849
436,-98.74989974279549
480,-99.19667107095128
499,-99.34295169575849
433,-98.71163398374675
499,-99.34295169575849
499,-99.34295169575849
342,-96.78458856169608
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
488,-99.25873249283983
425,-98.60376762496368
499,-99.34295169575849
497,-99.32283934720996
414,-98.44055320054174
414,-98.44055320054174
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
377,-97.73812623524985
481,-99.20470436024176
499,-99.34295169575849
276,-93.75814452201755
499,-99.34295169575849
346,-96.9112886018569
499,-99.34295169575849
499,-99.34295169575849
454,-98.95677413217054
386,-97.93373930426998
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
442,-98.82305542308087
499,-99.34295169575849
403,-98.25825961077763
443,-98.83482486885006
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
419,-98.51698161036678
499,-99.34295169575849
499,-99.34295169575849
381,-97.82725308645732
433,-98.71163398374675
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
468,-99.09370189555086
443,-98.83482486885006
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
472,-99.1294136569956
369,-97.54875451638065
499,-99.34295169575849
443,-98.83482486885006
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
401,-98.22289522577046
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
495,-99.3090902430466
499,-99.34295169575849
487,-99.25124494226245
402,-98.24066627351276
499,-99.34295169575849
391,-98.0350066378613
428,-98.64523712273463
499,-99.34295169575849
438,-98.77477673791385
359,-97.28959081415289
332,-96.4446316140525
499,-99.34295169575849
499,-99.34295169575849
366,-97.4737215192231
499,-99.34295169575849
324,-96.14696415225477
460,-99.01782355409692
394,-98.09336890571016
377,-97.73812623524985
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
485,-99.23604218167785
468,-99.09370189555086
499,-99.34295169575849
499,-99.34295169575849
372,-97.62155895848963
499,-99.34295169575849
499,-99.34295169575849
380,-97.80530614793669
284,-94.24036097430583
499,-99.34295169575849
355,-97.17840886529696
437,-98.76240074536753
297,-94.94579567006807
347,-96.94217571583833
499,-99.34295169575849
391,-98.0350066378613
415,-98.45614766853632
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
347,-96.94217571583833
382,-97.84898055559275
333,-96.48018529791197
476,-99.16371823254947
376,-97.7152790255049
491,-99.28074887906999
335,-96.55022961048353
304,-95.28915128282897
499,-99.34295169575849
499,-99.34295169575849
408,-98.34362222034058
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
370,-97.57326697121685
362,-97.37009267738173
312,-95.65308933997785
323,-96.10804459823714
474,-99.14673832522138
354,-97.1499079447444
499,-99.34295169575849
295,-94.84317484957461
499,-99.34295169575849
499,-99.34295169575849
340,-96.71930268513017
339,-96.68616432841432
466,-99.07530037297303
292,-94.68532364722071
315,-95.78219693349118
499,-99.34295169575849
420,-98.53181179426312
499,-99.34295169575849
499,-99.34295169575849
296,-94.89474310107886
474,-99.14673832522138
441,-98.81116709402109
499,-99.34295169575849
404,-98.27567701466985
499,-99.34295169575849
411,-98.39281829677424
386,-97.93373930426998
446,-98.86943173542035
343,-96.81674267607912
395,-98.11243521665307
372,-97.62155895848963
499,-99.34295169575849
499,-99.34295169575849
477,-99.17208105022398
310,-95.5648294459523
499,-99.34295169575849
474,-99.14673832522138
323,-96.10804459823714
280,-94.0040985328534
288,-94.4673137328779
499,-99.34295169575849
409,-98.36018599813717
499,-99.34295169575849
409,-98.36018599813717
337,-96.6188800412349
309,-95.52002974338616
295,-94.84317484957461
360,-97.31669490601136
499,-99.34295169575849
301,-95.14495148694266
294,-94.79108570664101
499,-99.34295169575849
421,-98.5464936763205
424,-98.58966426764009
476,-99.16371823254947
499,-99.34295169575849
499,-99.34295169575849
499,-99.34295169575849
379,-97.78313752316838
470,-99.11173722782941
296,-94.89474310107886
499,-99.34295169575849
456,-98.97753432694034
321,-96.02902213879925
316,-95.82437496415626
499,-99.34295169575849
314,-95.7395928621123
493,-99.29506197637649
357,-97.23455852887756
499,-99.34295169575849
499,-99.34295169575849
