lengths,returns
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
51,0.7471720943315961
23,0.0
23,0.0
21,0.0
96,1.1717532600552802
23,0.0
23,0.0
21,0.0
23,0.0
70,0.682554595010387
23,0.0
23,0.0
23,0.0
71,0.6757290490602831
23,0.0
23,0.0
23,0.0
23,0.0
21,0.0
21,0.0
148,1.3926440035643097
69,0.6894490858690777
21,0.0
23,0.0
23,0.0
23,0.0
117,1.1376790217913808
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
21,0.0
23,0.0
23,0.0
23,0.0
23,0.0
21,0.0
23,0.0
49,0.7547192872036325
23,0.0
23,0.0
21,0.0
53,0.7323033696543974
23,0.0
103,1.2221936426586022
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
69,0.6894490858690777
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
51,0.7471720943315961
23,0.0
72,0.6689717585696803
21,0.0
23,0.0
23,0.0
23,0.0
23,0.0
21,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
96,1.1787877370052764
23,0.0
23,0.0
98,1.1553298610388714
70,0.682554595010387
71,0.682554595010387
72,0.6757290490602831
23,0.0
23,0.0
21,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
21,0.0
68,0.6964132180495735
21,0.0
23,0.0
69,0.6894490858690777
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
51,0.7471720943315961
23,0.0
23,0.0
21,0.0
23,0.0
23,0.0
23,0.0
119,1.097063271215051
72,0.6757290490602831
75,0.6689717585696803
74,0.6757290490602831
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
69,0.6894490858690777
23,0.0
21,0.0
21,0.0
21,0.0
23,0.0
23,0.0
96,1.1787877370052764
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
21,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
84,1.2888571702984495
21,0.0
23,0.0
23,0.0
23,0.0
23,0.0
96,1.1787877370052764
23,0.0
23,0.0
23,0.0
69,0.6894490858690777
23,0.0
23,0.0
23,0.0
21,0.0
21,0.0
21,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
82,1.294328736722357
23,0.0
23,0.0
21,0.0
23,0.0
69,0.6894490858690777
72,0.682554595010387
21,0.0
